Monday	Tiuesday	Wednesday	Thursday	Friday	Saturday
Lat Raise @70 1234-12	Leg curl @60 12345-8	V bar row @170 1234-6	Decline @45 1234-10	Hammer curl @25 12345-12	
Front Db Raise 12@15-15 34@20-	Leg ext @140 12345-8	Rear delt @60 1234-12	Incline @45 1234-10	Db ext @25 12345-12	
Db press @30 1234-12		Straight bar pulldown @110 1234-12		Wide curl @20 12345-10	
				Db ext @60 12345-8	
					
Week 30					
					
Shoulder press @35 1-8 234-7	Leg ext @140 12345-10	Pulldown Plate @70 1234-12	Butterfly @130 1234-10	Curl M @41kg 12-15 345-12	
Shrug @45 1234-20	Hip thrust @142 1234-10	Low row @80 12-12 34-10	Bench @55 1234-10	Tricep M @140 12345-15	
Lat Raise @70 1234-15	Leg press @180	V bar row @170 1234-7	Decline @45 1234-12	Hammer curl @30 12345-10	
Front Db Raise @20 1234-15		Rear delt @70 1234-12	Incline @45 1234-10	Ind Db ext @30 12345-10	
Db press @30 1234-12		Straight bar pulldown @120		Wide curl @22.5 12-10 345-8	
				Db ext @60 12-10 345-8	
